task_id,family,wording,label,head,suff,nec
exp12_test_edit_03,test_edit,canonical,1,16,0.1435760259628296,0.1308041661977768
exp12_test_edit_03,test_edit,canonical,1,17,-0.0013613998889923096,-0.006468623876571655
exp12_test_edit_03,test_edit,canonical,1,18,0.013952404260635376,0.01063983142375946
exp12_test_edit_03,test_edit,canonical,1,19,-0.017847687005996704,-0.028162673115730286
exp12_test_edit_03,test_edit,canonical,1,20,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,21,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,22,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,23,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,24,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,25,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,26,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,27,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,28,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,29,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,30,-0.0,0.0
exp12_test_edit_03,test_edit,canonical,1,31,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,0,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,1,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,2,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,3,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,4,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,5,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,6,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,7,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,8,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,9,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,10,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,11,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,12,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,13,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,14,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,15,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,16,0.19819152355194092,0.19164487719535828
exp12_test_edit_03,test_edit,paraphrase,1,17,-0.006309539079666138,-0.0015003681182861328
exp12_test_edit_03,test_edit,paraphrase,1,18,0.009580045938491821,0.009587287902832031
exp12_test_edit_03,test_edit,paraphrase,1,19,-0.029049158096313477,-0.043185412883758545
exp12_test_edit_03,test_edit,paraphrase,1,20,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,21,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,22,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,23,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,24,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,25,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,26,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,27,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,28,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,29,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,30,-0.0,0.0
exp12_test_edit_03,test_edit,paraphrase,1,31,-0.0,0.0
exp12_test_edit_05,test_edit,canonical,0,0,0.0,0.0
exp12_test_edit_05,test_edit,canonical,0,1,0.0,0.0
exp12_test_edit_05,test_edit,canonical,0,2,0.0,0.0
exp12_test_edit_05,test_edit,canonical,0,3,0.0,0.0
exp12_test_edit_05,test_edit,canonical,0,4,0.0,0.0
exp12_test_edit_05,test_edit,canonical,0,5,0.0,0.0
