hidden_state_index,decoder_layer_index,task_idx,task_id,condition,wording,recipient_label,donor_label,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
15,14,9,task_009,paraphrase_test,paraphrase,0,1,0.3972775936126709,0.39716631174087524,-0.0001112818717956543,-0.0001112818717956543
15,14,9,task_009,paraphrase_impl,paraphrase,1,0,0.5757630467414856,0.5762717127799988,0.0005086660385131836,-0.0005086660385131836
15,14,10,task_010,canonical_test,canonical,0,1,-0.15203332901000977,-0.14910662174224854,0.0029267072677612305,0.0029267072677612305
15,14,10,task_010,canonical_impl,canonical,1,0,0.04530304670333862,0.048205554485321045,0.002902507781982422,-0.002902507781982422
15,14,10,task_010,paraphrase_test,paraphrase,0,1,-0.10250282287597656,-0.10531115531921387,-0.0028083324432373047,-0.0028083324432373047
15,14,10,task_010,paraphrase_impl,paraphrase,1,0,0.022837579250335693,0.021295130252838135,-0.0015424489974975586,0.0015424489974975586
15,14,11,task_011,canonical_test,canonical,0,1,0.22857606410980225,0.23113083839416504,0.002554774284362793,0.002554774284362793
15,14,11,task_011,canonical_impl,canonical,1,0,0.37023621797561646,0.3613976836204529,-0.008838534355163574,0.008838534355163574
15,14,11,task_011,paraphrase_test,paraphrase,0,1,0.3428446054458618,0.35002052783966064,0.007175922393798828,0.007175922393798828
15,14,11,task_011,paraphrase_impl,paraphrase,1,0,0.474392831325531,0.47689712047576904,0.002504289150238037,-0.002504289150238037
15,14,12,task_012,canonical_test,canonical,0,1,-0.019555091857910156,-0.021530508995056152,-0.001975417137145996,-0.001975417137145996
15,14,12,task_012,canonical_impl,canonical,1,0,0.28302454948425293,0.2871367931365967,0.00411224365234375,-0.00411224365234375
15,14,12,task_012,paraphrase_test,paraphrase,0,1,0.18048465251922607,0.1754155158996582,-0.005069136619567871,-0.005069136619567871
15,14,12,task_012,paraphrase_impl,paraphrase,1,0,0.3447002172470093,0.35706889629364014,0.01236867904663086,-0.01236867904663086
15,14,13,task_013,canonical_test,canonical,0,1,0.08738303184509277,0.09737503528594971,0.009992003440856934,0.009992003440856934
15,14,13,task_013,canonical_impl,canonical,1,0,0.29017072916030884,0.29020965099334717,3.892183303833008e-05,-3.892183303833008e-05
15,14,13,task_013,paraphrase_test,paraphrase,0,1,0.12830913066864014,0.12074947357177734,-0.007559657096862793,-0.007559657096862793
15,14,13,task_013,paraphrase_impl,paraphrase,1,0,0.3007720112800598,0.30215293169021606,0.00138092041015625,-0.00138092041015625
15,14,14,task_014,canonical_test,canonical,0,1,-0.010980606079101562,-0.011765599250793457,-0.0007849931716918945,-0.0007849931716918945
15,14,14,task_014,canonical_impl,canonical,1,0,0.15901660919189453,0.168471097946167,0.009454488754272461,-0.009454488754272461
15,14,14,task_014,paraphrase_test,paraphrase,0,1,0.07385516166687012,0.07511532306671143,0.0012601613998413086,0.0012601613998413086
15,14,14,task_014,paraphrase_impl,paraphrase,1,0,0.2296033501625061,0.23167508840560913,0.0020717382431030273,-0.0020717382431030273
15,14,15,task_015,canonical_test,canonical,0,1,0.2826824188232422,0.27624547481536865,-0.006436944007873535,-0.006436944007873535
15,14,15,task_015,canonical_impl,canonical,1,0,0.5807177424430847,0.5688575506210327,-0.011860191822052002,0.011860191822052002
15,14,15,task_015,paraphrase_test,paraphrase,0,1,0.41766780614852905,0.4199730157852173,0.0023052096366882324,0.0023052096366882324
15,14,15,task_015,paraphrase_impl,paraphrase,1,0,0.6278146505355835,0.6380718946456909,0.010257244110107422,-0.010257244110107422
15,14,16,task_016,canonical_test,canonical,0,1,-0.1115332841873169,-0.11153614521026611,-2.86102294921875e-06,-2.86102294921875e-06
15,14,16,task_016,canonical_impl,canonical,1,0,0.07942825555801392,0.07830297946929932,-0.0011252760887145996,0.0011252760887145996
15,14,16,task_016,paraphrase_test,paraphrase,0,1,-0.05083775520324707,-0.043681204319000244,0.007156550884246826,0.007156550884246826
15,14,16,task_016,paraphrase_impl,paraphrase,1,0,0.07445377111434937,0.0728340744972229,-0.0016196966171264648,0.0016196966171264648
15,14,17,task_017,canonical_test,canonical,0,1,0.20794987678527832,0.21596431732177734,0.008014440536499023,0.008014440536499023
15,14,17,task_017,canonical_impl,canonical,1,0,0.32036012411117554,0.3178461194038391,-0.0025140047073364258,0.0025140047073364258
