task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_type,donor_condition,donor_label,config,config_role,common_suffix_tokens,baseline_margin,patched_margin,raw_margin_shift,signed_transfer_effect
4,task_004,canonical_impl,canonical,1,same_state_cross_wording,paraphrase_impl,1,early_H15_H20,control,87,0.04504704475402832,-0.012443244457244873,-0.05749028921127319,-0.05749028921127319
4,task_004,paraphrase_test,paraphrase,0,same_state_cross_wording,canonical_test,0,early_H15_H20,control,87,-0.09664011001586914,-0.08995741605758667,0.006682693958282471,-0.006682693958282471
4,task_004,paraphrase_impl,paraphrase,1,same_state_cross_wording,canonical_impl,1,early_H15_H20,control,87,0.009015023708343506,0.035004377365112305,0.0259893536567688,0.0259893536567688
4,task_004,canonical_test,canonical,0,opposite_cross_wording,paraphrase_impl,1,early_H15_H20,control,87,-0.10215723514556885,-0.10804879665374756,-0.005891561508178711,-0.005891561508178711
4,task_004,canonical_impl,canonical,1,opposite_cross_wording,paraphrase_test,0,early_H15_H20,control,87,0.04504704475402832,-0.06065082550048828,-0.1056978702545166,0.1056978702545166
4,task_004,paraphrase_test,paraphrase,0,opposite_cross_wording,canonical_impl,1,early_H15_H20,control,87,-0.09664011001586914,-0.02368694543838501,0.07295316457748413,0.07295316457748413
4,task_004,paraphrase_impl,paraphrase,1,opposite_cross_wording,canonical_test,0,early_H15_H20,control,87,0.009015023708343506,-0.02553534507751465,-0.034550368785858154,0.034550368785858154
5,task_005,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,early_H15_H20,primary,120,0.2019747495651245,0.24937331676483154,0.04739856719970703,0.04739856719970703
5,task_005,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,early_H15_H20,primary,120,0.3667828440666199,0.30814623832702637,-0.058636605739593506,0.058636605739593506
5,task_005,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,early_H15_H20,primary,113,0.30816030502319336,0.3722953796386719,0.06413507461547852,0.06413507461547852
5,task_005,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,early_H15_H20,primary,113,0.431734561920166,0.3352161645889282,-0.09651839733123779,0.09651839733123779
5,task_005,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,late_H21_H28,negative_control,120,0.2019747495651245,0.21324002742767334,0.011265277862548828,0.011265277862548828
5,task_005,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,late_H21_H28,negative_control,120,0.3667828440666199,0.357809841632843,-0.008973002433776855,0.008973002433776855
5,task_005,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,late_H21_H28,negative_control,113,0.30816030502319336,0.3213319778442383,0.013171672821044922,0.013171672821044922
5,task_005,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,late_H21_H28,negative_control,113,0.431734561920166,0.40300118923187256,-0.028733372688293457,0.028733372688293457
5,task_005,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,full_H15_H28,positive_control,120,0.2019747495651245,0.25481081008911133,0.052836060523986816,0.052836060523986816
5,task_005,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,full_H15_H28,positive_control,120,0.3667828440666199,0.29647600650787354,-0.07030683755874634,0.07030683755874634
5,task_005,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,full_H15_H28,positive_control,113,0.30816030502319336,0.37211066484451294,0.06395035982131958,0.06395035982131958
5,task_005,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,full_H15_H28,positive_control,113,0.431734561920166,0.3182529807090759,-0.11348158121109009,0.11348158121109009
5,task_005,canonical_test,canonical,0,self,canonical_test,0,early_H15_H20,control,288,0.2019747495651245,0.2019747495651245,0.0,0.0
5,task_005,canonical_impl,canonical,1,self,canonical_impl,1,early_H15_H20,control,288,0.3667828440666199,0.3667828440666199,0.0,0.0
5,task_005,paraphrase_test,paraphrase,0,self,paraphrase_test,0,early_H15_H20,control,272,0.30816030502319336,0.30816030502319336,0.0,0.0
5,task_005,paraphrase_impl,paraphrase,1,self,paraphrase_impl,1,early_H15_H20,control,272,0.431734561920166,0.431734561920166,0.0,0.0
5,task_005,canonical_test,canonical,0,same_state_cross_wording,paraphrase_test,0,early_H15_H20,control,86,0.2019747495651245,0.17635291814804077,-0.02562183141708374,0.02562183141708374
5,task_005,canonical_impl,canonical,1,same_state_cross_wording,paraphrase_impl,1,early_H15_H20,control,86,0.3667828440666199,0.35544317960739136,-0.011339664459228516,-0.011339664459228516
5,task_005,paraphrase_test,paraphrase,0,same_state_cross_wording,canonical_test,0,early_H15_H20,control,86,0.30816030502319336,0.32408058643341064,0.015920281410217285,-0.015920281410217285
5,task_005,paraphrase_impl,paraphrase,1,same_state_cross_wording,canonical_impl,1,early_H15_H20,control,86,0.431734561920166,0.4155757427215576,-0.0161588191986084,-0.0161588191986084
5,task_005,canonical_test,canonical,0,opposite_cross_wording,paraphrase_impl,1,early_H15_H20,control,86,0.2019747495651245,0.2585223317146301,0.056547582149505615,0.056547582149505615
5,task_005,canonical_impl,canonical,1,opposite_cross_wording,paraphrase_test,0,early_H15_H20,control,86,0.3667828440666199,0.24464213848114014,-0.12214070558547974,0.12214070558547974
5,task_005,paraphrase_test,paraphrase,0,opposite_cross_wording,canonical_impl,1,early_H15_H20,control,86,0.30816030502319336,0.3695114850997925,0.06135118007659912,0.06135118007659912
5,task_005,paraphrase_impl,paraphrase,1,opposite_cross_wording,canonical_test,0,early_H15_H20,control,86,0.431734561920166,0.35589003562927246,-0.07584452629089355,0.07584452629089355
6,task_006,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,early_H15_H20,primary,103,-0.002301454544067383,0.08949458599090576,0.09179604053497314,0.09179604053497314
6,task_006,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,early_H15_H20,primary,103,0.31967848539352417,0.2134789228439331,-0.10619956254959106,0.10619956254959106
6,task_006,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,early_H15_H20,primary,96,0.14523088932037354,0.23368895053863525,0.08845806121826172,0.08845806121826172
6,task_006,paraphrase_impl,paraphrase,1,opposite_same_wording,paraphrase_test,0,early_H15_H20,primary,96,0.3138446807861328,0.2243672013282776,-0.08947747945785522,0.08947747945785522
6,task_006,canonical_test,canonical,0,opposite_same_wording,canonical_impl,1,late_H21_H28,negative_control,103,-0.002301454544067383,-0.007613658905029297,-0.005312204360961914,-0.005312204360961914
6,task_006,canonical_impl,canonical,1,opposite_same_wording,canonical_test,0,late_H21_H28,negative_control,103,0.31967848539352417,0.31880003213882446,-0.000878453254699707,0.000878453254699707
6,task_006,paraphrase_test,paraphrase,0,opposite_same_wording,paraphrase_impl,1,late_H21_H28,negative_control,96,0.14523088932037354,0.15874147415161133,0.013510584831237793,0.013510584831237793
