task_idx,task_id,recipient_condition,recipient_wording,recipient_label,donor_condition,donor_label,component,hidden_state_index,decoder_layer_index,common_suffix_tokens,projection_recovery,distance_recovery
1,task_001,canonical_impl,canonical,1,canonical_test,0,mlp,23,22,121,0.8809065124131573,0.6717569523281313
1,task_001,canonical_impl,canonical,1,canonical_test,0,mlp,24,23,121,0.8033939845221195,0.5898130281886513
1,task_001,canonical_impl,canonical,1,canonical_test,0,mlp,25,24,121,0.8143523391695663,0.5843781647830636
1,task_001,canonical_impl,canonical,1,canonical_test,0,mlp,26,25,121,0.8110362567328917,0.5775019934818431
1,task_001,canonical_impl,canonical,1,canonical_test,0,mlp,27,26,121,0.8162916760326331,0.565696367706416
1,task_001,canonical_impl,canonical,1,canonical_test,0,mlp,28,27,121,0.8317990559988474,0.5518084083595665
1,task_001,canonical_impl,canonical,1,canonical_test,0,residual,21,20,121,0.9592510562818186,0.8120400753844849
1,task_001,canonical_impl,canonical,1,canonical_test,0,residual,22,21,121,0.9081397944567623,0.7389128557897293
1,task_001,canonical_impl,canonical,1,canonical_test,0,residual,23,22,121,0.8843455689196903,0.6965529587263848
1,task_001,canonical_impl,canonical,1,canonical_test,0,residual,24,23,121,0.83328782055773,0.6344220874800146
1,task_001,canonical_impl,canonical,1,canonical_test,0,residual,25,24,121,0.8112164621637017,0.5996127018823668
1,task_001,canonical_impl,canonical,1,canonical_test,0,residual,26,25,121,0.8089072627774904,0.5882242915708263
1,task_001,canonical_impl,canonical,1,canonical_test,0,residual,27,26,121,0.7967327443093991,0.5664230685963882
1,task_001,canonical_impl,canonical,1,canonical_test,0,residual,28,27,121,0.8071761630826846,0.5543610680680526
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,21,20,114,0.8309981655174501,0.45775141170935585
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,22,21,114,0.6937508625272791,0.43522579659305927
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,23,22,114,0.7170799779247174,0.492465228615114
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,24,23,114,0.6654709662510624,0.4792429006071486
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,25,24,114,0.7415617997475339,0.4327281239152404
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,26,25,114,0.7246021101337791,0.44610226136817965
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,27,26,114,0.6418910912198349,0.27969965921188655
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,attn,28,27,114,0.6305313943691719,0.40215866440041226
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,21,20,114,0.9803533222680563,0.7919533365340596
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,22,21,114,0.9405518521037339,0.7428096980967474
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,23,22,114,0.9272346543479407,0.7162069450630303
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,24,23,114,0.7968596777346643,0.5717596926759649
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,25,24,114,0.8105501839271151,0.5683943667885287
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,26,25,114,0.8524780172406616,0.5810784392097053
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,27,26,114,0.838399988273334,0.530373723110113
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,mlp,28,27,114,0.8343910075967708,0.5617347182607841
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,21,20,114,0.9813617890430637,0.8231180538553848
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,22,21,114,0.9424304447561942,0.7521581735456375
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,23,22,114,0.927917938028384,0.7286080842478089
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,24,23,114,0.8270638957045566,0.6171819980857549
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,25,24,114,0.8156951057269489,0.5871319149880552
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,26,25,114,0.8158989993528271,0.5699360581634898
1,task_001,paraphrase_test,paraphrase,0,paraphrase_impl,1,residual,27,26,114,0.8047311635421244,0.537877046374711
