task_id,family,wording,label,head,suff
exp12_test_edit_05,test_edit,canonical,1,23,-0.0
exp12_test_edit_05,test_edit,canonical,1,24,-0.0
exp12_test_edit_05,test_edit,canonical,1,25,-0.0
exp12_test_edit_05,test_edit,canonical,1,26,-0.0
exp12_test_edit_05,test_edit,canonical,1,27,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,0,0.004066938534379005
exp12_test_edit_05,test_edit,paraphrase,1,1,0.007933352142572403
exp12_test_edit_05,test_edit,paraphrase,1,2,-0.00035808049142360687
exp12_test_edit_05,test_edit,paraphrase,1,3,0.02400370128452778
exp12_test_edit_05,test_edit,paraphrase,1,4,-0.0044568926095962524
exp12_test_edit_05,test_edit,paraphrase,1,5,0.017128553241491318
exp12_test_edit_05,test_edit,paraphrase,1,6,-0.013094121590256691
exp12_test_edit_05,test_edit,paraphrase,1,7,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,8,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,9,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,10,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,11,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,12,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,13,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,14,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,15,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,16,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,17,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,18,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,19,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,20,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,21,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,22,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,23,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,24,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,25,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,26,-0.0
exp12_test_edit_05,test_edit,paraphrase,1,27,-0.0
exp12_test_edit_07,test_edit,canonical,0,0,0.01941490243189037
exp12_test_edit_07,test_edit,canonical,0,1,0.01550929737277329
exp12_test_edit_07,test_edit,canonical,0,2,0.015475976979359984
